Reviews,label1,label2,label3
"Its not bad for the price, but there is lots of glitches in it! Another thing, it says it comes with a charger and it didnt! The only thing good about it is that it came quick!!battery  is average",Neutral,Battery,3
"Iphone came in very good condition as described, but the charger was not working well. I had to get a new one. Besides that, everything was ok.battery is worst.battery is draining very fast",Negative,Battery,1
"i bought i phone 4 and this i phone supposed to be used like new but i surprised when i found the back camera is scratched and not working , really it was very bad. Worst camera.",Negative,Camera,4
"Needed a replacement phone for my daughter This one made her very happy! Was received in as advertised condition. Fully functional. No noticeable scratches on screen, original plastic on back, and otterbox works great.screen is very good and bright .",Positive,Screen,5
It didnt work. The microphone wouldnt work half the time and the person couldnt hear me. Photos were unclear with lines across the screen! Screen is not good,Negative,Screen,1
"The phone does NOT work right, and never has. Sure, you can call out on it, and you can receive calls BUT ....no one can HEAR YOUR VOICE ... unless you switch the speaker phone on! That part is not working right, and it has not since the day we received it. This was a gift for someone without a phone at all, and now she has one that only works halfway! NOT RIGHT! Ive written the Seller already and now have submitted a claim via Amazon too. So far, the Seller is NOT returning emails or calls. Maybe Amazon itself will have better luck -- and if not, perhaps this store does not need to be an Amazon store at all.Lets see if they answer this, the THIRD request for replacement! A full replacement or even a full return of funds in the next 24 hours would certainly be welcome since we thought we bought a WORKING CELL phone. This one does not work right, period. we demand a replacement that works or a full refund within the next ten(10) days.too coslty and very bad camera and pictures were not good.",Negative,Camera,2
"This is my first apple product ever. I had been wanting one for years but this was in my price range. A lot of my friends have the 5 or 5s and all suggested I start with the 4 since they feel the ios system is better on it. The phone I got was used, but looks near to new. Only a few extremely light scratches that you cant even see when looking directly at it. Screen is average and camera is not too bad it is just fine.",Neutral,Screen,3
"It was fast and the shipping was minutes after I made the delicious to buy the phone, I was needing any phone cause I lost my phone. Picture quality is also good.",Positive,Camera,5
there were multiple issues with the phone that was supposed to be refurbished. this was the first product I purchased through here that I can say was a waste of money and I order a lot.picture quality is vey bad.,Negative,Camera,2
Only one speaker works and its not unlocked... Other than that it works pretty good but just those problems. Yeah. Dispalay is good.,Positive,Screen,4
A family member keeps breaking his phone. I didnt want to buy a brand new one. This re-furbished phone is working great and I couldnt beat the screen.,Positive,Screen,4
"It says just what you get in the mail, very nice and functional equipment, will definately recommend it ! Delivered a day late but no complaints. Good camera.",Positive,Camera,5
"Got this phone because my android smart phone would only hold a charge for 5 hours. On the plus side, this phone holds a charge for days, on the negative side, folks dont get my texts sometimes, or I dont get their texts sometimes, and it ALWAYS cuts my call off when Ive only been talking for a few minutes. Must just be my particular phone, my daughter has one and has no problems with hers. Im going back to my android smart phone. This one is garbage, sorry I bought it.battery is draining very fast and worst battery.",Negative,Battery,2
"The purchase of this iphone 4 has caused me so much hassle and waste of time. What a total regret buying this phone from ""mobilekarma"" Not only was it sold to me as a blacklisted phone, theres no way to get this iphone off the list. I had contacted mobile karma and they have no means to settling or solving this issue.it is taking lot of time for getting charged and draining very  fast.",Negative,Battery,1
My husband loves his phone.It was the perfect gift .Thank you Im looking forward to finding more gifts for family.very good picture quality and good camera.,Positive,Camera,4
This product arrived in box and with accessories that work! But we paid too much for this phone bc it continuously goes to the reboot screen! We are trying to find out how to fix this problem...but it is difficult!mobile is charging is slow and battery is also weak.,Negative,Battery,2
My son wanted to be iphone nation but I had just switched carriers. So I was not going to pay full price for a new phone. Then I said let me look on Amazon.com. this phone did not have scratch on it. Perfect condition. My son loves it. Thank you. Money well spent. Keyboard is working fine and also screen quality also good.,Positive,Screen,4
"Bought this as a replacement to my broken 8GB iPhone. If you already own an iPhone then you know how useful and widely owned these are. if you dont have one, Apple products, while seemingly fragile, do work extremely well for a long time in terms of performance and durability. I never knew someone who had a physically defective apple anything after any given amount of time. These things do not fall apart ever.very good mobile  and fantastic camera , i loved the pictures.",Positive,Camera,4
The phone is reliable it works a lilttle slow and the home button has to be pressed hard but after that it is a good product,Neutral,Screen,3
"The iPhone 4 was sold as like new condition, the bottom right corner glass was shattered and the button intermittently works. It cost me $136 to have it repaired. Price is okay.",Neutral,Screen,3
I am very pleased with this item. The phone arrived within a short period of time. It was in a great shape and the seller even included a nice case and a charger. I loved the picture quality and the screen is soo good.,Positive,Screen,5
"Buy this cellphone as a gift for my wife, I like it because it is small and easy to use for her. The system uses the cellphone iphone is very stable. Front and rear camera works really amazing.",Positive,Camera,5
"this is one of the worst products ive ever bought from Apple ive had it encased in a otter box for protection and upkeep and it still regularly blips out. so far as the battery is concerned it regularly abruptly dies even if one moment before it reads 40-50% power, and the power button stopped working soon after i got it. do yourself a favor if youre considering apple for a phone just go with Samsung, LG, or something else. its not worth the faulty poor quality and headaches this one will bring you.Price is too hight and it is not worth it . I have wasted my  money. Poor battery life.",Negative,Battery,1
"Works great, received this phone on the date that was published, but as soon as i got it the battery was not fully charged and the charger was not working so i received a new charger. Now the phone is in great condition.",Positive,Battery,3
"Great deal, came in time, had it for over a month now,camera  works Perfect just like it should.. I guess I just got lucky this time..:/ but yeah, good sell:)",Positive,Camera,5
"Battery lasted 6 months... do not recommend. This phone has a problem with the screen touch. Many times, it will not recognize Im pressing a button on the screen. However, it will constantly think my ear is a button. Its VERY annoying!. I dont recommend buying this phone from this company.",Positive,Battery,5
"My iPhone was bought from used powerbookmac.com & it is flawless no scratches or scuffs.i had my phone unlocked from third party vender(60 bucks).because they had no pervious owner info they buy then in bulk.but you can still unlock it through a third party vender. But all in all my iPhone is great the best phone I ever had. Its my first iPhone and for used the shot I took was right on the money. Fast, smooth, clean & crisp like an iPhone is. Buy from the vender if possible. Very good camera and battery.",Positive,Battery,4
Was worried about buying a used phone. Im very happy with my purchase. Looks and works great! Definitely recommend it! I have clicked amazing pictures.,Positive,Camera,4
"Purchased this product as new. Proximity sensor failed. Apple support told me this phone was purchased in 2011and had no factory warranty. Company will not do any replacement after 30 days, so beware. I have a phone that I cannot use for phone calls. I will not purchase from these people as they state the product is new, but it is not!,display is not good and screen is very bad .",Negative,Screen,2
Purchased several as gifts. They arrived on time and were in good condition as the Seller had described. Please note that none of these gift iphones were put on the carrier named. They went on the month to month plans offered at a major chain store that sold a package deal of buy the chip and get a month air time free. Many months later they are all working fine. And the low budget carrier service is even better than my personal 2-year contract carrier.I plan to purchase more of these as gifts soon.i loved the photos quality of this phone.,Positive,Camera,4
The phone was in excellent condition and we have had no issues with it. The charger stopped working about a week later. Other than that I have nothing negative to say about our experience.,Positive,Battery,3
